u_0_Vm,c_Nai,c_Nao,c_Ki,c_Ko,c_Pi,c_ATP,c_ADP,T,pH,v_ss
0,50,150,140,0.1,0.5,10,0.02,310,7.4,0.336798
0,50,150,140,0.5,0.5,10,0.02,310,7.4,6.55969
0,50,150,140,1.0,0.5,10,0.02,310,7.4,17.832
0,50,150,140,1.5,0.5,10,0.02,310,7.4,27.3353
0,50,150,140,2.0,0.5,10,0.02,310,7.4,34.2442
0,50,150,140,2.5,0.5,10,0.02,310,7.4,39.1678
0,50,150,140,3.0,0.5,10,0.02,310,7.4,42.7358
0,50,150,140,4.0,0.5,10,0.02,310,7.4,47.4153
0,50,150,140,5.4,0.5,10,0.02,310,7.4,51.1069
0,50,150,140,10.0,0.5,10,0.02,310,7.4,55.7797
