u_0_Vm,c_Nai,c_Nao,c_Ki,c_Ko,c_Pi,c_ATP,c_ADP,T,pH,v_ss
-0.09,50,150,0.001,5.4,0.001,10,0.001,310,7.4,25.7951
-0.075,50,150,0.001,5.4,0.001,10,0.001,310,7.4,32.1871
-0.06,50,150,0.001,5.4,0.001,10,0.001,310,7.4,37.8792
-0.045,50,150,0.001,5.4,0.001,10,0.001,310,7.4,42.5217
-0.03,50,150,0.001,5.4,0.001,10,0.001,310,7.4,46.1045
-0.01,50,150,0.001,5.4,0.001,10,0.001,310,7.4,49.5612
0,50,150,0.001,5.4,0.001,10,0.001,310,7.4,50.8786
0.01,50,150,0.001,5.4,0.001,10,0.001,310,7.4,52.003
0.03,50,150,0.001,5.4,0.001,10,0.001,310,7.4,53.8534
0.05,50,150,0.001,5.4,0.001,10,0.001,310,7.4,55.3792
